nama_toko,folder_toko,jenis,kunci,tipe,file_lokal,url,ukuran_byte
Hangs on You,toko3,JIBBITZ,JB-0000001,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000001.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000001.png,332236
Hangs on You,toko3,JIBBITZ,JB-0000002,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000002.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000002.png,299417
Hangs on You,toko3,JIBBITZ,JB-0000003,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000003.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000003.png,300403
Hangs on You,toko3,JIBBITZ,JB-0000004,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000004.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000004.png,289355
Hangs on You,toko3,JIBBITZ,JB-0000005,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000005.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000005.png,316050
Hangs on You,toko3,JIBBITZ,JB-0000006,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000006.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000006.png,249699
Hangs on You,toko3,JIBBITZ,JB-0000007,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000007.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000007.png,306933
Hangs on You,toko3,JIBBITZ,JB-0000008,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000008.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000008.png,301481
Hangs on You,toko3,JIBBITZ,JB-0000009,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000009.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000009.png,280756
Hangs on You,toko3,JIBBITZ,JB-0000010,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000010.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000010.png,297967
Hangs on You,toko3,JIBBITZ,JB-0000011,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000011.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000011.png,263819
Hangs on You,toko3,JIBBITZ,JB-0000012,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000012.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000012.png,237606
Hangs on You,toko3,JIBBITZ,JB-0000013,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000013.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000013.png,281255
Hangs on You,toko3,JIBBITZ,JB-0000014,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000014.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000014.png,229323
Hangs on You,toko3,JIBBITZ,JB-0000015,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000015.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000015.png,272901
Hangs on You,toko3,JIBBITZ,JB-0000016,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000016.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000016.png,283259
Hangs on You,toko3,JIBBITZ,JB-0000017,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000017.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000017.png,253586
Hangs on You,toko3,JIBBITZ,JB-0000018,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000018.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000018.png,279174
Hangs on You,toko3,JIBBITZ,JB-0000019,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000019.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000019.png,240855
Hangs on You,toko3,JIBBITZ,JB-0000020,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000020.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000020.png,283519
Hangs on You,toko3,JIBBITZ,JB-0000021,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000021.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000021.png,276780
Hangs on You,toko3,JIBBITZ,JB-0000022,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000022.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000022.png,325640
Hangs on You,toko3,JIBBITZ,JB-0000023,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000023.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000023.png,272148
Hangs on You,toko3,JIBBITZ,JB-0000024,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000024.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000024.png,311177
Hangs on You,toko3,JIBBITZ,JB-0000025,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000025.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000025.png,306003
Hangs on You,toko3,JIBBITZ,JB-0000026,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000026.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000026.png,255246
Hangs on You,toko3,JIBBITZ,JB-0000027,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000027.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000027.png,267494
Hangs on You,toko3,JIBBITZ,JB-0000028,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000028.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000028.png,291458
Hangs on You,toko3,JIBBITZ,JB-0000029,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000029.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000029.png,292906
Hangs on You,toko3,JIBBITZ,JB-0000030,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000030.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000030.png,296629
Hangs on You,toko3,JIBBITZ,JB-0000031,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000031.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000031.png,248152
